Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Q21A,Q22A,Q23A,Q24A,Q25A,Q26A,Q27A,Q28A,Q29A,Q30A,Q31A,Q32A,Q33A,Q34A,Q35A,Q36A,Q37A,Q38A,Q39A,Q40A,Q41A,Q42A,Q43A,Q44A,Q45A,Q46A,Q47A,Q48A,Q49A,Q50A,Q51A,Q52A,Q53A,Q54A,Q55A,Q56A,T1A,T2A,T3A,T4A,T5A,T6A,country,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize
4,3,3,2,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,2,2,3,3,3,3,4,2,4,3,3,3,3,3,3,4,3,2,3,4,2,3,2,4,2,3,2,1,2,1,2,2,1,CA,3,2,6,1,5,3,6,5,6,2,1,3,2,2,17,1,2,2,1,2,1,3
4,4,4,4,2,3,4,4,2,2,2,4,2,4,2,3,2,2,3,2,1,1,3,3,3,3,2,2,1,3,4,3,4,3,4,3,4,2,2,2,3,3,4,4,2,4,4,3,4,2,4,2,4,2,4,2,1,1,2,2,2,1,PH,3,5,2,3,6,5,3,6,2,3,2,3,2,2,16,1,4,2,1,2,1,3
3,2,2,4,2,3,1,1,1,1,1,1,1,4,3,4,4,2,3,4,1,3,4,4,4,3,2,4,4,3,3,3,4,4,4,2,2,1,4,4,3,4,4,3,1,3,4,2,4,4,3,1,4,2,2,1,2,1,2,1,1,2,GE,1,6,7,5,1,7,2,7,7,1,2,2,1,2,19,1,7,1,6,1,1,1
2,2,3,2,2,4,2,4,3,3,3,3,2,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,2,3,1,3,1,1,4,2,3,2,3,1,3,3,1,2,1,1,1,1,AR,5,6,6,4,6,4,4,2,3,1,3,2,1,2,35,1,1,1,6,2,2,6
2,3,2,4,4,4,3,2,2,2,3,3,2,3,3,4,3,2,4,4,4,4,3,4,3,3,4,4,2,3,2,3,3,3,3,3,2,2,3,4,3,2,3,4,4,2,2,3,2,4,2,4,3,2,3,4,1,1,2,1,2,2,US,4,2,7,5,6,4,7,1,4,1,2,1,2,1,37,1,7,2,6,2,3,0
2,2,4,4,2,4,2,2,2,4,2,4,1,2,3,3,2,3,2,3,2,3,3,3,2,4,1,3,4,3,3,4,3,3,4,3,2,3,4,3,3,4,3,2,2,3,3,3,3,3,4,4,4,2,3,2,1,2,2,2,1,1,DE,3,5,5,3,6,5,3,5,3,1,2,2,1,2,20,1,2,1,6,1,1,2
3,3,3,2,2,3,3,2,2,4,1,3,2,4,3,3,2,3,2,3,2,3,2,2,2,3,2,2,2,2,2,2,3,2,3,3,3,2,3,3,3,2,3,4,3,4,3,4,4,3,4,4,4,4,4,3,1,1,2,2,2,2,AU,4,5,5,6,5,5,6,6,5,3,1,2,2,1,15,2,4,1,1,2,1,1
3,3,4,3,2,3,3,2,2,3,3,3,2,3,1,3,2,1,3,2,1,3,3,3,2,2,1,2,4,4,1,2,4,2,3,3,3,4,2,4,4,2,3,4,2,3,4,4,4,3,3,4,4,4,4,3,1,2,2,1,2,2,ES,3,5,2,6,7,6,6,7,1,1,3,3,2,1,23,1,2,2,6,2,1,3
1,2,2,4,2,2,2,1,2,3,1,2,1,3,3,4,3,3,3,4,1,3,3,3,3,4,2,3,3,3,3,4,3,3,3,3,2,4,4,3,3,4,3,2,2,4,2,2,4,3,4,2,4,3,3,2,2,2,2,2,1,1,AR,3,6,5,3,5,3,3,3,5,6,2,2,2,2,20,1,4,1,6,1,1,1
4,4,4,3,4,4,4,3,4,4,4,3,2,4,2,1,4,1,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,3,4,1,4,3,4,4,4,4,4,3,1,1,2,1,1,2,BD,4,1,5,1,7,1,5,1,3,7,4,3,2,2,32,1,10,1,1,1,3,2
